,MICROAMBIENTE,me 0,me 1,me 2,me 3,me 4,me 5,me 6,me 7,me 8,me 9
0,1,0,-,-,-,-,-,-,-,-,-
1,2,0,1,0,0,0,0,-,-,-,-
2,3,14,5,0,0,0,4,-,-,-,-
3,4,-,-,-,-,-,-,-,-,-,-
4,5,0,1,0,-,-,-,-,-,-,-
5,6,0,0,0,-,-,-,-,-,-,-
6,7,0,-,-,-,-,-,-,-,-,-
7,8,0,0,0,1,0,-,-,-,-,-
8,9,0,0,2,1,0,0,3,-,-,-
9,10,0,0,0,0,3,0,-,-,-,-
10,11,0,0,0,0,1,1,0,-,-,-
11,12,0,0,0,0,0,0,1,-,-,-
12,13,0,1,0,0,2,3,-,-,-,-
13,14,0,0,2,-,-,-,-,-,-,-
14,15,1,0,1,0,1,-,-,-,-,-
15,16,2,0,0,0,-,-,-,-,-,-
16,17,2,0,4,0,-,-,-,-,-,-
17,18,0,1,0,0,0,-,-,-,-,-
18,19,0,0,0,0,-,-,-,-,-,-
19,20,-,-,-,-,-,-,-,-,-,-
20,21,0,0,1,-,-,-,-,-,-,-
21,22,0,0,0,0,0,-,-,-,-,-
22,23,1,0,0,0,-,-,-,-,-,-
23,24,2,0,0,1,-,-,-,-,-,-
24,25,0,0,0,0,1,0,-,-,-,-
25,26,0,0,0,0,0,-,-,-,-,-
26,27,0,0,0,0,0,1,-,-,-,-
27,28,0,0,1,0,-,-,-,-,-,-
28,29,0,0,0,0,1,0,-,-,-,-
29,30,3,1,0,-,-,-,-,-,-,-
30,31,-,-,-,-,-,-,-,-,-,-
31,32,0,0,0,0,-,-,-,-,-,-
32,33,0,0,0,1,0,0,-,-,-,-
33,34,0,0,0,0,1,0,-,-,-,-
34,35,0,0,-,-,-,-,-,-,-,-
35,36,1,1,1,0,-,-,-,-,-,-
36,37,-,-,-,-,-,-,-,-,-,-
37,38,-,-,-,-,-,-,-,-,-,-
38,39,1,1,0,0,-,-,-,-,-,-
39,40,1,1,0,0,1,0,-,-,-,-
40,41,-,-,-,-,-,-,-,-,-,-
41,42,0,0,0,0,-,-,-,-,-,-
42,43,0,0,1,-,-,-,-,-,-,-
43,44,1,1,0,0,0,-,-,-,-,-
44,45,2,0,1,0,1,0,-,-,-,-
45,46,0,1,0,0,1,0,-,-,-,-
46,47,1,0,5,0,0,2,-,-,-,-
47,48,-,-,-,-,-,-,-,-,-,-
48,49,-,-,-,-,-,-,-,-,-,-
49,50,0,0,0,0,0,1,-,-,-,-
50,51,1,0,0,0,0,0,-,-,-,-
51,52,0,0,0,1,-,-,-,-,-,-
52,53,0,1,0,0,0,0,-,-,-,-
53,54,-,-,-,-,-,-,-,-,-,-
54,55,0,0,0,0,0,0,-,-,-,-
55,56,1,0,0,0,-,-,-,-,-,-
56,57,1,-,-,-,-,-,-,-,-,-
57,58,0,0,0,-,-,-,-,-,-,-
58,59,4,0,0,-,-,-,-,-,-,-
59,60,0,0,-,-,-,-,-,-,-,-
60,61,0,0,1,0,3,-,-,-,-,-
61,62,0,1,2,1,0,0,-,-,-,-
62,63,-,-,-,-,-,-,-,-,-,-
